bus_number,P_output,Q_output,voltage_mag,gen_status,P_max,P_min
4,2092.53547136909,-261.975883324521,1,1,7704.03319099007,0
7,163.46993892783,-67.7501233297912,1,1,485.734001348211,0
12,397.323756436095,-51.8559548332299,1,1,397.323756436095,0
13,104.299926396641,29.7454434595452,1,1,104.299926396641,0
25,90.2484905360512,-20.8804624488557,1,1,90.2484905360512,0
30,14.743928958049,43.8524217908607,1,1,14.743928958049,0
31,25.2693942367722,15.1528319838403,1,1,25.2693942367722,0
37,417.560174690725,46.5238574712449,1,1,417.560174690725,0
39,353.792925510578,6.65347178194174,1,1,353.792925510578,0
43,210.948773410163,137.965266427123,1,1,210.948773410163,0
44,447.265044064978,-219.893979742224,1,1,447.265044064978,0
56,227.161475822923,-123.621303477447,1,1,391.290370654299,0
60,1534.39641259985,-40.6127942210618,1,1,1534.39641259985,0
65,2966.53768450218,-373.823800615362,1,1,2966.53768450218,0
67,215.831537319988,37.4854480139037,1,1,215.831537319988,0
70,272.707835300821,-404.836279565061,1,1,272.707835300821,0
74,86.611626977489,-37.8333539531666,1,1,139.489589022833,0
75,78.5283180523238,22.1121706657675,1,1,78.5283180523238,0
89,270.862874165004,-90.8974542048737,1,1,270.862874165004,0
100,301.198031643607,7.29615570653259,1,1,301.198031643607,0
101,176.923150072615,-43.5868039766405,1,1,176.923150072615,0
109,302.331618397993,-793.134557778925,1,1,302.331618397993,0
111,18.387063913687,597.085290231173,1,1,18.387063913687,0
113,0.0,0.0,1,0,708.855428237783,0
116,216.616966153029,406.61199858602,1,1,216.616966153029,0
118,45.4164175953276,384.885170358396,1,1,45.4164175953276,0
120,78.2405509470941,62.7384256993322,1,1,78.2405509470941,0
121,79.6349006351698,821.490184662216,1,1,79.6349006351698,0
124,62.2803378010783,59.8648876613094,1,1,62.2803378010783,0
127,712.865428434409,31.6199634609841,1,1,712.865428434409,0
133,294.896980782076,124.709929468512,1,1,294.896980782076,0
136,26.0529565316642,297.463593287457,1,1,26.0529565316642,0
138,1158.88272459018,-90.086731063341,1,1,1158.88272459018,0
140,235.145847585999,-71.5330514877558,1,1,235.145847585999,0
142,0.0,0.0,1,0,612.922740264491,0
146,36.3204373015033,159.485803581052,1,1,36.3204373015033,0
148,305.596857493302,13.3130199397178,1,1,305.596857493302,0
149,326.955199256611,-97.8084526778832,1,1,326.955199256611,0
154,4.42524105603588,23.2391341564261,1,1,4.42524105603588,0
155,437.446088490577,-67.1504110802602,1,1,486.95909337786,0
156,211.60325923154,-248.111317274133,1,1,211.60325923154,0
167,10.6408731977193,191.519427485343,1,1,56.4322394737995,0
168,134.963516042355,931.631137223864,1,1,134.963516042355,0
174,449.698701647184,-397.506795631065,1,1,584.940134354295,0
179,0.0,0.0,1,0,598.396584283585,0
180,48.6479973238002,128.615907904031,1,1,72.2335523680871,0
181,148.743732389268,236.940528102264,1,1,148.743732389268,0
183,265.152786690637,-72.7852233784999,1,1,265.152786690637,0
193,289.713228242223,-202.815658474602,1,1,289.713228242223,0
198,68.9451108959162,174.754052788653,1,1,68.9451108959162,0
216,128.335846655109,5.01277474974891,1,1,128.335846655109,0
219,4.98312707642925,190.27175579628,1,1,4.98312707642925,0
229,340.494900910489,-185.622023877255,1,1,340.494900910489,0
238,84.5933081901141,208.811647018642,1,1,84.5933081901141,0
242,438.285550229078,51.5988142095693,1,1,534.665220918431,0
243,218.834352179534,31.5278380710381,1,1,218.834352179534,0
248,133.940112814176,-82.8933497148332,1,1,133.940112814176,0
249,0.343963016526323,777.783616846287,1,1,3.39971723454099,0
250,458.795660400609,-750.989074798419,1,1,575.827763111081,0
251,0.0,0.0,1,0,666.289557378894,0
254,0.0,0.0,1,0,645.135696966071,0
265,164.892831615913,97.1688926130908,1,1,164.892831615913,0
274,119.851542003194,84.5498418892873,1,1,119.851542003194,0
276,404.269500397651,55.7886672369336,1,1,404.269500397651,0
277,1.38094721736801,689.036445574936,1,1,44.3922445886279,0
278,0.0004527774375718,-21.9693350553983,1,1,0.0016180453719366,0
288,33.9779200381037,78.6599864238514,1,1,47.452860141915,0
290,21.0646076555984,88.8681971698991,1,1,206.322847857086,0
292,391.781681521877,-0.519479641815479,1,1,391.781681521877,0
296,346.187308045674,-30.6284093246008,1,1,346.187308045674,0
