bus_number,P_output,Q_output,voltage_mag,gen_status,P_max,P_min
8,412.528197794255,0,1,1,412.528197795781,0
46,414.001461037223,0,1,1,414.001461037793,0
53,492.56669882193,0,1,1,492.566698831453,0
57,25.0785404416439,0,1,1,25.0785404422211,0
65,383.114909745174,0,1,1,383.11490974873,0
69,324.94915297188,0,1,1,324.949152972459,0
70,421.380261700053,0,1,1,421.380261702158,0
76,242.024428502408,0,1,1,242.024428502989,0
77,55.6757507492423,0,1,1,55.6757507498235,0
83,217.035841334821,0,1,1,217.035841335404,0
85,372.065021649974,0,1,1,372.065021653389,0
88,66.817407294129,0,1,1,66.8174072947111,0
90,65.563287796544,0,1,1,65.5632877971261,0
96,75.0343051532261,0,1,1,75.0343051581226,0
97,4061.23653063858,0,1,1,4762.64425722538,0
111,0.0,0,1,0,1523.97632718303,0
114,52.9863346140036,0,1,1,87.8082155209682,0
116,0.0,0,1,0,1916.79870592247,0
120,0.0,0,1,0,1252.2127026055,0
123,444.735457137672,0,1,1,444.735457138505,0
124,440.342445514711,0,1,1,440.342445515332,0
127,61.1944335967056,0,1,1,61.1944335996762,0
131,217.620356668088,0,1,1,217.620356668811,0
134,0.0,0,1,0,1214.74371646351,0
135,0.0,0,1,0,1314.09838966116,0
139,769.437443024956,0,1,1,998.201801379163,0
143,82.404963057489,0,1,1,484.881902159143,0
145,207.599135996888,0,1,1,207.599135997369,0
150,38.4013506815119,0,1,1,38.4013506821654,0
156,73.3961205005237,0,1,1,270.606206250927,0
159,99.9541696380597,0,1,1,99.9541696392274,0
161,4.29503632188542,0,1,1,4.29503632336088,0
168,306.585247401434,0,1,1,306.585247403604,0
169,919.695273529298,0,1,1,919.695273529961,0
171,239.747818197356,0,1,1,239.747818197909,0
174,214.37487820049,0,1,1,214.37487821075,0
175,196.565622594634,0,1,1,196.565622595379,0
177,517.256118694121,0,1,1,517.256118694735,0
180,315.43116767825,0,1,1,315.431167679294,0
181,0.0,0,1,0,1014.69861658489,0
186,219.746770182236,0,1,1,219.746770183403,0
189,0.0,0,1,0,580.254130814812,0
193,62.9843223655683,0,1,1,62.9843223662243,0
198,0.744878655504824,0,1,1,0.744878658077151,0
202,115.895230357689,0,1,1,115.895230358194,0
211,919.062378210537,0,1,1,919.062378211042,0
213,310.278495073226,0,1,1,310.27849508075,0
216,178.426004629281,0,1,1,178.42600462987,0
217,139.669983474863,0,1,1,139.66998347541,0
218,125.909317261385,0,1,1,125.909317261897,0
224,218.171693057728,0,1,1,218.171693058243,0
227,0.0,0,1,0,763.255956294142,0
228,353.137895665682,0,1,1,353.137895666293,0
230,220.297690831655,0,1,1,220.297690834764,0
233,158.02035269585,0,1,1,158.020352696636,0
240,278.168981014289,0,1,1,278.16898101471,0
241,321.520196744868,0,1,1,321.520196745415,0
246,66.2645360307325,0,1,1,66.2645360312683,0
247,151.999925724869,0,1,1,151.99992572539,0
248,41.3409913229095,0,1,1,41.3409913237956,0
252,101.681172309813,0,1,1,101.681172310354,0
253,306.806238269184,0,1,1,306.806238269724,0
255,142.136676790489,0,1,1,142.136676791021,0
256,5.36969840495223,0,1,1,5.36969840613234,0
268,559.300945432327,0,1,1,559.300945432869,0
269,118.119300587176,0,1,1,118.119300588216,0
277,9.03691094076278,0,1,1,9.03691094176363,0
282,269.063787618974,0,1,1,269.063787619506,0
292,435.579303244988,0,1,1,435.579303246719,0
