bus_number,P_output,Q_output,voltage_mag,gen_status,P_max,P_min
2,943.747167474245,-187.075997425575,1,1,1404.36559558183,0
6,276.864673952238,-12.7383317879986,1,1,276.864673952238,0
8,0.0,0.0,1,0,845.702164316364,0
18,139.988009453736,86.5825220087085,1,1,139.988009453736,0
22,5.58247723580422,150.974785938202,1,1,47.499137387522,0
23,724.946283771424,55.9903200857611,1,1,724.946283771424,0
25,144.074426975935,-45.3279576770096,1,1,144.074426975935,0
26,1234.7183657177,-31.9201290314513,1,1,1234.7183657177,0
31,20.5665809729765,15.6541525484647,1,1,43.6990934191967,0
32,0.0,0.0,1,0,947.448308645993,0
34,4.0961891844779,134.62858136379,1,1,104.589350094651,0
41,174.353970458824,-11.9780285591692,1,1,174.353970458824,0
44,0.0,0.0,1,0,623.271619310981,0
48,0.0,0.0,1,0,769.682417093855,0
49,190.379919127319,23.6237093281861,1,1,190.379919127319,0
57,95.6527997643522,75.6225848286457,1,1,95.6527997643522,0
67,119.125185379425,-25.6473423968426,1,1,119.125185379425,0
71,104.104782213973,29.6156380314368,1,1,104.104782213973,0
73,364.785822336023,-49.3172326298234,1,1,364.785822336023,0
77,161.239554608476,622.063847335622,1,1,161.239554608476,0
81,8.63107406095428,88.6740604428855,1,1,20.4490011063938,0
82,410.601503036397,-468.998043062882,1,1,410.601503036397,0
85,0.314816496107705,27.8171233175558,1,1,2.21725624439147,0
95,243.805815712103,30.3936342192822,1,1,243.805815712103,0
96,0.744426696641077,29.6257610789915,1,1,0.744426696641077,0
108,273.933604886779,-29.2032828793391,1,1,273.933604886779,0
112,1163.65913947928,-28.994951157081,1,1,1163.65913947928,0
