bus_number,bus_type,P_demand,Q_demand,voltage_mag,voltage_ang
1,1,0.0,0,0.99946702289495,-0.0490038104747113
2,1,497.907910420927,0,0.996776322888756,-6.06311374045693
3,1,0.0,0,0.994852286875414,-1.85795818662632
4,3,0.0,0,1.0,0.0
5,1,0.0,0,0.997232724545658,-5.39459152353254
6,1,0.0,0,0.999037845046594,-5.11983139731446
7,2,0.0,0,1.0,-1.89834982408871
8,1,50.4409305129427,0,1.00191839148465,-0.773640471298803
9,1,0.0,0,0.999106988994945,-3.64298833320401
10,2,0.0,0,1.0,-2.92435705809524
11,1,14.2956561712938,0,0.994845269392067,-3.99845203369161
12,1,747.791204764622,0,0.996623166703823,-4.29189204735413
13,1,0.0,0,0.993752256582083,-2.95271899499375
14,1,425.973658860767,0,0.998450683069231,-7.41246496118492
15,1,0.0,0,0.9993966416244,-5.99347829220121
16,1,0.0,0,0.99784014113491,-4.83334970548657
17,2,0.0,0,0.998530755685867,-4.44632056216219
18,2,0.0,0,1.0,-6.94276267837932
19,1,0.0,0,0.996851342125123,-4.6308468002639
20,1,0.0,0,0.997837711283484,-5.22317385651166
21,1,0.0,0,0.998989569211463,-3.04346562483551
22,1,0.0,0,0.998182113531829,-3.95329654662638
23,2,0.0,0,1.0,-4.34253011895728
24,2,0.0,0,0.999481528723972,-4.83372662043345
25,1,0.0,0,0.995456907508732,-5.25494097388495
26,1,0.0,0,0.993274228674316,-4.24282592525046
27,1,0.0,0,0.997449774321265,-5.58354759948621
28,1,456.089524938058,0,0.985651225600021,-6.76152644307273
29,1,0.0,0,0.986313209771848,-5.89932013167194
30,1,352.685516932888,0,0.994218802550202,-0.576101074694874
31,2,0.0,0,1.0,-4.12520436723558
32,1,0.0,0,0.995281354075215,-5.92243745500813
33,1,0.0,0,0.992795817454438,-6.32136653116436
34,1,620.357996680086,0,0.990569547962326,-5.6229084964926
35,1,0.0,0,0.991336596154975,-5.80388962216532
36,1,0.0,0,0.990934088049545,-5.32971640767472
37,1,175.634687891727,0,0.987447225324989,-7.0859737391733
38,2,0.0,0,1.0,-4.89926023307595
39,2,0.0,0,1.0,-3.71523910385812
40,1,301.099796478756,0,0.985168405271674,-7.25643525797447
41,1,333.284904040381,0,0.998267012218351,-4.60521321528822
42,1,0.0,0,0.99428945852174,-5.67589682109391
43,1,0.0,0,0.999221400442606,-2.34155820144625
44,1,0.0,0,1.00092783449408,-0.994081214828135
45,1,69.2344444764267,0,0.987116323011539,-4.12268045991506
46,1,0.0,0,0.996690238538306,-1.95334378224432
47,1,0.0,0,0.998406869663989,-3.72562477887747
48,2,0.0,0,1.0,-3.00517085844724
49,2,0.0,0,1.0,-1.59899351168522
50,1,46.487915654236,0,0.992338776040704,-3.31946070276954
51,2,0.0,0,1.0,-1.59899351168522
52,1,0.0,0,0.994147075720301,-2.78973777520469
53,1,0.0,0,0.998597138262638,-2.69860010722621
54,2,0.0,0,1.0,-0.634412418973297
55,1,0.0,0,0.99274109793793,-3.74466713409783
56,2,0.0,0,1.0,-2.06446940599449
57,1,87.6456652603172,0,0.995891445951735,-4.2571563710636
58,2,0.0,0,0.999792454510409,-3.70443590016286
59,1,0.0,0,0.99490794153241,-3.77720495452107
60,1,0.0,0,0.988811942150853,-6.65299327655174
61,1,0.0,0,1.00138798685384,-4.70329586205852
62,1,0.0,0,0.997481293207674,-3.09895094664313
63,1,0.0,0,0.98774848164111,-5.13978163582555
64,1,0.0,0,0.9948232082164,-4.53482650649373
65,1,0.0,0,0.992245262644394,-5.16875893361222
66,1,52.9609940610381,0,0.992695164321457,-4.35338967472879
67,1,0.0,0,0.988770233155498,-4.94852106621081
68,1,0.0,0,0.992699778935009,-4.89087995607017
69,1,0.0,0,0.995863909009403,-4.45673572698452
70,2,0.0,0,0.981831619015172,-4.59843997188528
71,1,67.6027938641805,0,0.986505314014761,-4.82708453949935
72,1,0.0,0,1.00455946363043,-3.85353421419505
73,1,0.0,0,0.990819345703146,-4.76885730376217
74,1,0.0,0,0.996654563252224,-4.65804260538324
75,1,0.0,0,0.987167165060013,-3.82792246282974
76,1,0.0,0,0.980543104983907,-5.46195519292778
77,1,0.0,0,0.993917582053893,-4.81695128936406
78,1,345.022192031487,0,0.973144956207051,-5.0537459215973
79,1,0.0,0,0.99772871159524,-4.2303251742523
80,1,0.0,0,0.996561018435826,-4.87770377750985
81,1,0.0,0,0.999875777688139,-7.58921240420271
82,2,0.0,0,1.0,-6.49148218992511
83,1,0.0,0,0.992863172462932,-6.28998614105799
84,1,16.0458497484026,0,0.977888418825248,-7.66218699892303
85,1,194.925311611302,0,0.981219613279711,-9.75977924797298
86,2,0.0,0,1.0,-8.55916601963948
87,2,0.0,0,1.0,-3.99690239804047
88,1,0.0,0,0.999836867482258,-5.33673662325856
89,1,0.0,0,0.999276342854785,-8.29922337743012
90,1,698.765519643822,0,0.9898253017989,-8.94973461495326
91,1,258.891318142521,0,0.990589439432444,-8.64157026175516
92,1,0.0,0,0.998641575009463,-8.190612064662
93,1,0.0,0,1.00204458351954,-7.70320850776073
94,1,0.0,0,0.998588632810965,-8.01683842267445
95,1,0.0,0,0.974121192981973,-5.7721514699632
96,2,0.0,0,1.0,-7.99824199526709
97,1,0.0,0,0.979455924929056,-7.32052960083468
98,2,0.0,0,0.997903032853152,-6.62408553845648
99,1,0.0,0,0.987573541268072,-4.10460104263805
100,2,0.0,0,1.0,-7.99824199526709
101,1,0.0,0,0.99962411411382,-1.22438218450923
102,2,0.0,0,1.0,-5.61824039934166
103,1,250.715719421031,0,0.966569576830625,-9.682937956284
104,1,51.0466166654163,0,0.957020801472438,-4.05234376398944
105,1,0.0,0,0.99864547613742,-2.42351805176552
106,1,0.0,0,0.989637977019713,-6.48501201641419
107,1,0.0,0,0.975725389329258,-8.0695214963702
108,2,0.0,0,1.0,-0.300174182699506
109,1,0.0,0,0.976154001815825,-6.41539579455132
110,1,0.0,0,0.99529844552239,-2.32197513061552
111,1,123.073524513546,0,0.974008958322138,-7.93696427048441
112,2,0.0,0,0.973534874637701,-8.74255797840876
113,1,0.0,0,0.969600764390542,-9.0379967753537
114,1,0.0,0,0.985721277242531,-5.71879935909396
115,1,21.2923147675304,0,0.993904240060905,-3.60029167855377
116,1,0.0,0,0.988392299518943,-5.80533244047726
117,1,379.241315407552,0,0.983242254852816,-5.61441741800602
118,2,0.0,0,1.0,-3.31729262543571
