cost_model,startup,shutdown,n_coefficients,coeff_n,coeff1,coeff0
2,0,0,3,0.0030083243709242,40.6462048477771,3242.28364558839
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0054865309507994,23.9395317790518,3066.78870617733
2,0,0,3,0.007207298737937,44.4836826078324,578.690722534382
2,0,0,3,0.0077951579933601,31.2002218299867,569.269191380527
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0061281429402987,31.4327165410555,404.368557614336
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.007274999686318,56.5032099457149,447.209036752718
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
