bus_number,bus_type,P_demand,Q_demand,voltage_mag,voltage_ang
1,1,91.9586777613582,0,1,-0.192135345397653
2,1,0.0,0,1,-2.52054896770222
3,1,221.391750100127,0,1,-3.01970020079962
4,1,0.0,0,1,-2.30645915230603
5,1,0.0,0,1,-2.68148833731199
6,2,0.0,0,1,-0.968300904238799
7,1,195.565563672693,0,1,-0.918298234564962
8,1,0.0,0,1,-3.56029578092204
9,2,0.0,0,1,0.364041899971209
10,3,0.0,0,1,0.0
11,1,310.036829955711,0,1,-1.08261591947247
12,2,0.0,0,1,-2.67996629044004
13,1,0.0,0,1,-1.36734091068704
14,1,0.0,0,1,2.1543638935055
15,2,0.0,0,1,-1.13217479076909
16,2,0.0,0,1,-1.39583970044634
17,1,0.0,0,1,-0.907408685459268
18,2,0.0,0,1,2.54805484242762
19,2,0.0,0,1,0.517158216732736
20,1,228.202359059502,0,1,-2.59485395318145
21,1,55.5878247890264,0,1,-1.53067277363939
22,1,43.6933359409349,0,1,-6.57304140285246
23,2,0.0,0,1,-1.39583970044634
24,1,0.0,0,1,-0.831247105799959
25,1,32.9678516832093,0,1,-2.92310587878301
26,1,0.0,0,1,-1.8658852723937
27,2,0.0,0,1,0.663367137117938
28,1,0.0,0,1,-0.826330662132725
29,1,75.0904084354875,0,1,-3.5828062404101
30,1,0.0,0,1,-2.1247646449973
31,1,0.0,0,1,-3.34610090702445
32,1,0.0,0,1,-0.692209499487093
33,1,0.0,0,1,-2.25621338230178
34,1,0.0,0,1,0.865785424165729
35,1,491.200769776369,0,1,-2.62875334758222
36,1,0.0,0,1,-1.36970111280909
37,1,44.4206984798775,0,1,-0.0400595642256035
38,1,0.0,0,1,0.319990563963982
39,2,0.0,0,1,-1.12356124403219
40,2,0.0,0,1,1.24832665802417
41,1,0.0,0,1,-0.095686222879797
42,1,0.0,0,1,-1.75208227326935
43,1,0.0,0,1,1.90956830431077
44,1,359.174868666937,0,1,-0.46361257968791
45,1,53.2464131087168,0,1,-2.38658773180084
46,1,0.0,0,1,-1.51635878993818
47,1,0.0,0,1,-1.91726415106776
48,1,0.0,0,1,-2.09861557526995
49,2,0.0,0,1,2.34185483173342
50,1,94.6894726936991,0,1,-0.368990313671932
51,1,201.611026313791,0,1,-3.80069254593845
52,1,0.0,0,1,-2.10683210187578
53,1,0.0,0,1,-2.96014339047173
54,1,0.0,0,1,0.50644494129915
55,1,0.0,0,1,-1.22243999447597
56,2,0.0,0,1,-0.343193193539971
57,1,198.253867560577,0,1,-4.92354442065192
