from_bus,to_bus,resistance,reactance,susceptance,line_rating,line_status,P_from,Q_from,P_to,Q_to
1,2,0.0056940653079074,0.0049736713980986,0,765.37199835354,1,-149.82430778312,0,149.82430778312,0
3,5,0.0104877962355404,0.0147292570556549,0,1000.68186663651,1,-82.2077825375894,0,82.2077825375894,0
4,5,0.0006804412533353,0.0186036101652599,0,126.013417471159,1,-126.013417471699,0,126.013417471699,0
2,6,0.0377633922036092,0.0012894152968036,0,602.635285929338,1,-27.4360549773142,0,27.4360549773142,0
3,7,0.0175720661538761,0.0530657206084296,0,194.008326804207,1,30.603749491831,0,-30.603749491831,0
6,7,0.0010721160436995,0.0657897088393048,0,127.770903299994,1,-24.7444880584758,0,24.7444880584758,0
1,8,0.000347290724439,0.0018559190804491,0,1079.47416728968,1,533.3217906715,0,-533.3217906715,0
6,9,0.0038974739970496,0.0472922677862944,0,49.9442266770933,1,0.682048650319134,0,-0.682048650319134,0
6,10,0.0025274317201033,0.125323120126224,0,72.0358616455172,1,-3.37361556915808,0,3.37361556915808,0
5,13,0.0119666848449806,0.046303493269874,0,126.968308180542,1,45.2989833497739,0,-45.2989833497739,0
11,15,0.0132459214178396,0.231847747375876,0,4.6413260501785,1,0.730047620604476,0,-0.730047620604476,0
12,15,0.0320141188708652,0.0814739826457445,0,840.092001591411,1,6.87434334466765,0,-6.87434334466765,0
13,15,0.010153085808636,0.0893170030895651,0,504.832128349154,1,37.8190921652874,0,-37.8190921652874,0
14,15,0.0167091448138941,0.530580284033693,0,70.2475856160631,1,-8.44018295251143,0,8.44018295251143,0
11,16,0.133407170038443,0.298275438484392,0,29.7106800553466,1,4.02828441511977,0,-4.02828441511977,0
12,17,0.0004641547039117,0.0143196534806887,0,187.705545448248,1,155.545095401343,0,-155.545095401343,0
16,17,0.0097793016741722,0.0644404997978488,0,9.85394797445747,1,9.85394797448991,0,-9.85394797448991,0
11,18,0.0030490995435557,0.0992312448165466,0,1752.25734890111,1,-21.1866767500819,0,21.1866767500819,0
13,18,0.0727474272442899,0.195790134055603,0,41.813800707719,1,5.65017115574719,0,-5.65017115574719,0
14,18,0.0152473508968712,0.848628117353061,0,70.7693736900457,1,-7.95381950464215,0,7.95381950464215,0
11,19,0.0245532186188536,0.106680807500835,0,39.5502392971709,1,-1.99009951781066,0,1.99009951781066,0
16,20,0.0038479182489129,0.170735610883058,0,10.4817875035041,1,-5.82566355937012,0,5.82566355937012,0
12,21,0.0146132371201607,0.0081031343645894,0,160.623672503655,1,-37.2271615410319,0,37.2271615410319,0
12,22,0.318222831938806,1.28905101712741,0,2.89642095501247,1,-1.82972002873935,0,1.82972002873935,0
13,22,0.0517319127620292,0.250970296050542,0,2.17856151592076,1,1.82972002873935,0,-1.82972002873935,0
14,23,0.0364402035272851,0.305382869385192,0,92.5349997658445,1,-9.70331758786376,0,9.70331758786376,0
18,23,0.21319875714357,0.506229696033576,0,74.4799717696914,1,7.48001931558305,0,-7.48001931558305,0
19,23,0.308159631901092,0.853026804468321,0,17.0664568890371,1,2.2232982722807,0,-2.2232982722807,0
14,24,0.0011777220790247,0.050151532490015,0,1357.69442068193,1,26.0973200450173,0,-26.0973200450173,0
9,25,0.0281428884299752,0.0302432675518459,0,110.160189350606,1,4.07621622941199,0,-4.07621622941199,0
19,25,0.0334980293166263,0.112851402831496,0,74.2009113686166,1,-4.21339779009139,0,4.21339779009139,0
21,25,0.0152389980666247,0.0341419877433442,0,228.772719666076,1,0.137181560679411,0,-0.137181560679411,0
17,26,0.0004987593544689,0.0148425031961283,0,788.393963603721,1,-84.0724425542858,0,84.0724425542858,0
21,26,0.001123379348412,0.0152387990940266,0,661.278988827271,1,84.0724425542857,0,-84.0724425542857,0
27,29,0.0019991496432477,0.0084996234670321,0,682.363891185964,1,-84.969795420468,0,84.969795420468,0
20,30,0.0080187883271399,0.173668850988925,0,12.8721759802877,1,-5.82566355937011,0,5.82566355937011,0
28,30,0.0096410066811202,0.045864002675045,0,917.771591939396,1,-23.2621001649923,0,23.2621001649923,0
21,31,0.0030167897303144,0.003238824602437,0,859.990156434714,1,-121.436785655997,0,121.436785655997,0
29,31,2.9197351913283e-05,0.0063154281429982,0,586.75272039885,1,-141.364598662385,0,141.364598662385,0
24,33,0.0457394718164703,0.0141432123252329,0,410.703150867271,1,-75.1098045317229,0,75.1098045317229,0
27,34,0.0144835307429316,0.217168016507476,0,29.7106800553466,1,-4.36419786461258,0,4.36419786461258,0
30,35,0.0004299959289495,0.0171129168192184,0,6285.90531446823,1,-29.0877637243624,0,29.0877637243624,0
