cost_model,startup,shutdown,n_coefficients,coeff_n,coeff1,coeff0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0072317080063075,51.0560929348015,277.127853618055
2,0,0,3,0.0069936750721472,53.5714150321359,1189.34996279322
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0024653886964851,51.6782449576843,3136.4147273833
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0041903815753288,56.1529053014766,106.081696609753
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0033208712820885,32.7255452704779,454.475213151208
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0068404740934641,52.7216409851546,313.773543696888
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0063053133149092,27.822681460426,455.600141670351
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0028747109758998,40.8591845623658,1232.93699322831
2,0,0,3,0.0074067344548139,49.4968276201127,2719.07550178944
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0044224076999322,46.0538345854649,574.739683840076
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0036228731228608,42.4852121430852,313.554202206035
