cost_model,startup,shutdown,n_coefficients,coeff_n,coeff1,coeff0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0026178657957222,49.7632139167673,340.413345247643
2,0,0,3,0.0034901829351535,28.1514631693325,3165.7899388512
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0028938967875808,24.4851223592792,473.687960742954
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0047913580894951,32.696106267924,114.348678432067
2,0,0,3,0.0024154874226348,25.3618271405557,1506.72500940223
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0030086282815783,26.9346525534143,2325.3047693396
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0031071274602979,42.5916010555409,426.3638696306
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.002935970852635,47.6091557289896,548.178683913921
2,0,0,3,0.0056731859133195,53.8536240201562,2417.76465264241
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0032299558247962,42.7317493885194,251.930123407372
2,0,0,3,0.0049619940389878,30.6060020202205,1147.41501414271
2,0,0,3,0.0,0.0,0.0
