bus_number,P_output,Q_output,voltage_mag,gen_status,P_max,P_min
2,0.0,0,1,0,451.638593647129,0
3,81.8334921537458,0,1,1,81.8334921537458,0
7,0.0,0,1,0,447.768867572217,0
8,0.0,0,1,0,362.974702759467,0
14,40.8678350013574,0,1,1,40.8678350013574,0
22,1284.11734293201,0,1,1,1469.06534397497,0
30,0.0,0,1,0,349.676669422451,0
44,127.368316140383,0,1,1,127.368316140383,0
46,0.0,0,1,0,219.515932263227,0
57,1103.64948914252,0,1,1,1133.73702725539,0
61,846.326550671504,0,1,1,846.326550671504,0
64,80.4964351892695,0,1,1,80.4964351892695,0
66,299.950555564778,0,1,1,299.950555564778,0
71,232.141931317693,0,1,1,232.141931317693,0
72,217.90342567335,0,1,1,217.90342567335,0
74,0.0,0,1,0,771.626060611698,0
76,105.962616120131,0,1,1,105.962616120131,0
83,749.225712895231,0,1,1,993.335406870943,0
85,137.345247845946,0,1,1,137.345247845946,0
88,0.0,0,1,0,308.778736126556,0
93,0.0,0,1,0,653.430174125928,0
100,0.0,0,1,0,455.535200746872,0
106,559.918996476902,0,1,1,559.918996476902,0
107,132.658970640588,0,1,1,132.658970640588,0
113,72.5620972680431,0,1,1,72.5620972680431,0
116,79.4830413312595,0,1,1,79.4830413312595,0
