bus_number,P_output,Q_output,voltage_mag,gen_status,P_max,P_min
3,308.469956618307,-24.4961777301868,1.02251007178401,1,308.47,92.54
87,57.6700008549369,-25.1280156532139,1.02059779627813,1,226.37,57.67
8,8.99999068522898,-0.99939455741201,1.02422308063105,1,9.0,3.5
107,104.669991296129,-5.69755660067449,1.02421224501854,1,104.67,36.18
79,8.62,1.83992246505519,0.997671083757279,1,8.62,8.62
64,101.550000587855,-18.6346870131098,1.01901852070262,1,256.0,101.55
38,19.5999992927912,-2.38869415815217,1.0233138194556,1,19.6,8.29
29,15.7999992933263,0.0,1.021267400546,1,15.8,2.88
39,85.6699963715804,-10.4479832943506,1.02334495260058,1,85.67,31.52
39,46.7743020464314,-10.4479832943506,1.02334495260058,1,85.67,30.6
39,85.669997783963,-10.4479832943506,1.02334495260058,1,85.67,17.57
26,70.3900036730339,-26.5191774857156,1.02192924112522,1,238.93,70.39
84,67.9324929698978,-1.33850221402713,1.02439212064477,1,99.2,26.7
84,33.7400170164694,-1.33850221402713,1.02439212064477,1,99.2,33.74
84,99.1999862670569,-1.33850221402713,1.02439212064477,1,99.2,22.15
84,76.6901523962606,-1.33850221402713,1.02439212064477,1,99.2,30.05
84,89.10399603835,-1.33850221402713,1.02439212064477,1,99.2,42.9
84,35.1000067953684,-1.33850221402713,1.02439212064477,1,99.2,35.1
