cost_model,startup,shutdown,n_coefficients,coeff_n,coeff1,coeff0
2,0,0,3,0.019,24.202,672.75
2,0,0,3,0.016,24.148,672.75
2,0,0,3,0.027,25.425,672.75
2,0,0,3,0.015,23.698,672.75
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.0,0.0,0.0
2,0,0,3,0.001,17.255,757.0
2,0,0,3,0.016,18.317,732.05
2,0,0,3,0.002,19.806,679.65
2,0,0,3,0.02,16.057,752.5
2,0,0,3,0.009,15.681,610.45
2,0,0,3,0.0,0.0,237.79
2,0,0,3,0.0,0.0,237.79
2,0,0,3,0.0,0.0,237.79
2,0,0,3,0.0,0.0,237.79
2,0,0,3,0.0,0.0,237.79
2,0,0,3,0.0,0.0,237.79
2,0,0,3,0.0,0.0,1506.05
