bus_number,P_output,Q_output,voltage_mag,gen_status,P_max,P_min
193,1.02999898230516,-0.129821716710437,0.991735991669634,1,1.03,0.13
193,1.0299989822773,-0.129821716710437,0.991735991669634,1,1.03,0.34
111,9.69999898299151,-0.479934328286907,1.01227641362424,1,9.7,1.82
206,0.749999004897925,-0.0899410855141728,1.00654613757775,1,0.75,0.16
7,2.77999898046755,-0.139932782500278,1.02231646066849,1,2.78,0.55
247,4.41703822597873,-1.38990915685222,1.00987377998984,1,12.5,2.53
291,6.89999898670678,-0.339936933426595,1.03216412016446,1,6.9,2.64
16,1.49999897775956,-0.219911382462982,1.01689626190745,1,1.5,0.3
62,75.0700031975874,-23.8297272083491,1.0080145067859,1,214.7,75.07
132,3.4999989847003,0.0,0.979009751311333,1,3.5,0.91
132,1.19999898463315,0.0,0.979009751311333,1,1.2,0.37
257,27.4999989878321,-1.34992323700502,1.01577209548159,1,27.5,3.25
184,282.199996109691,-34.4298132866722,0.992496616612668,1,282.2,140.46
91,65.299998965485,-7.96970983892176,1.0052595193289,1,65.3,21.55
91,65.2999989654844,-7.96970983892176,1.0052595193289,1,65.3,31.49
31,1.99999898456898,0.0,1.02983615703855,1,2.0,0.5
31,1.99999898455697,0.0,1.02983615703855,1,2.0,0.77
280,0.679998986980729,-0.0299272431603302,1.0166354050338,1,0.68,0.19
243,1.9599989872722,-0.239926052875888,1.01596100491101,1,1.96,0.81
243,1.9599989872836,-0.239926052875888,1.01596100491101,1,1.96,0.59
240,82.5800014443895,-23.0198288863543,0.992290253543784,1,188.67,82.58
250,0.799998989765692,-0.119912656355863,1.01337739903531,1,0.8,0.24
70,1001.59999796087,-72.3759648742808,0.996870136268094,1,1001.6,351.9
44,47.299997397973,-5.24994355884577,1.03023626026404,1,47.3,19.99
285,7.99999898234744,-0.389936996474751,1.0189044541492,1,8.0,1.26
24,11.9999989811041,-0.589929253724921,1.02005993987658,1,12.0,2.71
65,65.41,-14.2396840556726,1.00574085044398,1,65.41,65.41
227,149.999998981739,-21.5998244752353,0.992073908404779,1,150.0,18.4
293,1.46999898246528,-0.0699358947722035,1.01862786419076,1,1.47,0.21
270,1.46999898709609,-0.0699272896484171,1.0165268484636,1,1.47,0.43
249,1.09999898978865,-0.0499135743302083,1.01340078366984,1,1.1,0.46
96,26.8999989664294,-1.31969764256497,1.00416129528884,1,26.9,7.77
191,14.9306253808363,-12.0998213749492,0.991378729333985,1,109.0,14.93
294,2.61999898704623,-0.319927880189093,1.01652712320205,1,2.62,0.5
181,5.43,0.0,1.00088785884516,1,5.43,5.43
48,0.799998984010462,-0.119936828859999,1.02184712206842,1,0.8,0.24
165,193.149993451812,2.55418764469885,0.98550868621461,1,193.15,24.98
279,2.69999898165875,-0.329949621800653,1.02477002580792,1,2.7,0.43
174,7.29999897683507,-0.359007204350718,0.989511006499115,1,7.3,1.9
174,7.29999897683052,-0.359007204350718,0.989511006499115,1,7.3,3.13
272,0.99999898731013,-0.119926102090226,1.01619652137927,1,1.0,0.31
298,24.0199989872244,-2.92991290345536,1.00951966399227,1,24.02,4.78
298,24.0199989872239,-2.92991290345536,1.00951966399227,1,24.02,6.88
33,2.49999898086069,-0.299931889205384,1.02182763603249,1,2.5,0.36
33,2.49999898084458,-0.299931889205384,1.02182763603249,1,2.5,0.99
59,1.09999898052344,-0.049931542142941,1.02198625841206,1,1.1,0.36
29,2.22999712300974,-0.249927666747176,1.01938367386694,1,2.23,0.35
29,2.22999740657453,-0.249927666747176,1.01938367386694,1,2.23,0.86
55,0.449998985389584,-0.0199375245978956,1.01818173895472,1,0.45,0.06
55,0.449998985307096,-0.0199375245978956,1.01818173895472,1,0.45,0.17
163,203.017724599402,-21.4348827056936,0.985302585393421,1,236.53,46.2
14,115.699997332195,-14.1199327937623,1.02261922486111,1,115.7,36.52
34,1.07999898097042,-0.049928339298052,1.0199717760124,1,1.08,0.15
34,1.07999898091432,-0.049928339298052,1.0199717760124,1,1.08,0.51
34,1.07999898096206,-0.049928339298052,1.0199717760124,1,1.08,0.23
34,1.07999898095726,-0.049928339298052,1.0199717760124,1,1.08,0.27
21,16.2999971603095,-1.80993149670101,1.02209803406244,1,16.3,4.48
236,96.6799968916787,-10.7298331412133,0.992653597380518,1,96.68,29.0
276,1.21999769670991,-0.139943363883505,1.02181230755607,1,1.22,0.32
276,1.21999732863462,-0.139943363883505,1.02181230755607,1,1.22,0.55
276,1.21999712102097,-0.139943363883505,1.02181230755607,1,1.22,0.38
276,1.21999698867031,-0.139943363883505,1.02181230755607,1,1.22,0.41
125,1.99999896755947,-0.239455847155788,0.99614591686884,1,2.0,0.61
125,1.99999896754338,-0.239455847155788,0.99614591686884,1,2.0,0.9
261,18.5999989879312,-2.26992262760977,1.01556507310151,1,18.6,7.24
169,2.99999897574799,-0.148809465320068,0.989048433387448,1,3.0,0.57
169,2.99999897574405,-0.148809465320068,0.989048433387448,1,3.0,0.82
19,1.2999989798627,-0.189931943997453,1.02255160509467,1,1.3,0.17
19,1.2999989798374,-0.189931943997453,1.02255160509467,1,1.3,0.46
60,0.369998983835437,-0.0199318033820184,1.0199633419904,1,0.37,0.18
69,1.76999896647982,-0.0894912702005504,0.997268205045356,1,1.77,0.51
5,6.49999898158542,-0.789935487109522,1.02248860725621,1,6.5,2.2
5,6.49999898158569,-0.789935487109522,1.02248860725621,1,6.5,2.14
147,3.14000401135063,-1.87920506827594,0.98769190663108,1,15.4,3.14
147,3.0200054351114,-1.87920506827594,0.98769190663108,1,15.4,3.02
110,2.27999896505979,-0.279692282311708,1.00612512294689,1,2.28,0.85
110,2.27999896507761,-0.279692282311708,1.00612512294689,1,2.28,0.24
