from_bus,to_bus,resistance,reactance,susceptance,line_rating,line_status,P_from,Q_from,P_to,Q_to
1,3,0.0026268635831875,0.14214451805957,0,6.26182301211251,1,1.28482080461694,1.47906454235331,-1.28471965312793,-1.47359104546186
2,7,0.0002689227763588,0.001991884519995,0,1235.38205965103,1,-681.814455308585,72.1431945220319,683.079377264602,-62.7740421679397
5,7,0.0002157473216765,0.0020694894292691,0,492.749738045181,1,-441.94792867056,22.8417783223411,442.37073564075,-18.7861332805836
5,8,0.0112326834236226,0.0114455294423756,0,686.996381550613,1,89.6152050690831,-10.2352314613953,-88.7007308739921,11.1670338570895
4,9,0.0075837799031927,0.011386927679135,0,2813.84268673317,1,-41.8871558737169,30.1333557970002,42.0943118365036,-29.8223143379041
1,11,0.0140025750743368,0.243442203551536,0,31.0521400967711,1,-3.23279915945438,1.43023575090942,3.23455458933655,-1.3997166702098
5,11,0.003404763810851,0.0041605971043967,0,374.043174453205,1,153.634151920446,-22.9010146704972,-152.812093603716,23.9055640731113
8,13,0.0044656372470936,0.0159970827357024,0,495.630880767049,1,88.7007308739916,-11.1670338570874,-88.337174823038,12.4693868930298
9,13,0.0103884054326078,0.0091559813553945,0,69.4427854580109,1,-42.0943118365022,29.822314337904,42.3780780001673,-29.5722126528413
12,13,0.0408939962232706,0.0105164478237098,0,2437.06952446927,1,32.5230988314184,-13.6159116412212,-32.0153003448414,13.7464989347664
7,16,5.14417023439908e-05,0.0010141908882608,0,3743.49869727725,1,-1125.45011290535,81.5601754485119,1126.10487585207,-68.6512983259377
10,18,0.0319433426101474,0.178533115883175,0,20.5631690232843,1,-4.17743992483545,-0.207286629089466,4.18318072325336,0.239372270273439
10,19,0.0632934985249248,0.334766472496826,0,29.3682704219919,1,4.17743992483546,0.207286629089422,-4.16606493441475,-0.147123018188316
14,19,0.0029542218452585,0.102600915170914,0,205.950137630129,1,-16.5944060720898,-2.54664822239848,16.6030759099836,2.84775401230827
18,19,0.0044250428049012,0.185985912224932,0,87.1199994037647,1,11.4827031771674,2.52949885869206,-11.4764407283736,-2.26628620674143
12,20,0.0051827254963977,0.0434463598295133,0,775.571973149732,1,-32.5230988314175,13.615911641222,32.5874549816222,-13.076419348802
15,21,0.0006477267702294,0.0019021092872195,0,396.525639466368,1,235.097529785255,1.1117261880242,-234.718952792869,-5.265232694284799e-12
17,22,0.0516702949193553,0.858244419779495,0,102.010255817665,1,0.481095413657561,-0.3127894073649,-0.480920575488627,0.315693472129511
19,22,0.233488218903544,0.754364649647884,0,4.81564293620437,1,-0.960570247195217,-0.43434478737885,0.963253827806345,0.443015025033762
17,23,0.907655557904651,0.966814752624792,0,102.010255817665,1,-0.481095413657566,0.312789407364922,0.484166672221404,-0.30951797024014
18,23,0.379015360392869,0.436850461825804,0,102.010255817665,1,0.485449156707188,-0.308039787563491,-0.484166672221421,0.309517970240075
14,24,0.0012541560029232,0.0227769759614503,0,966.79468676502,1,39.0025534196997,15.8504102737906,-38.9794084487345,-15.430069864724
15,24,0.0010131878314698,0.0063986103029935,0,482.574631473717,1,-157.660904254149,-26.095181284727,157.93451427607,27.8231174589384
25,26,0.0117927187107101,0.206761863755509,0,322.742958504557,1,-18.9130078988044,-1.80411241501588e-14,18.9559849333434,0.753516807952917
20,27,0.0006657914403629,0.328805020478258,0,67.6656919905616,1,-5.87929064384531,0.0998352773771587,5.87952249270198,0.0146646447368355
18,28,0.033598972616728,0.114547406088572,0,166.78402962221,1,-16.1513330571279,-2.46083134140168,16.2431384284871,2.77381910070447
20,29,0.0407571677555508,0.066649781765305,0,1348.31571989963,1,-26.7081643377769,12.9765840714243,27.0700949140551,-12.3847226823352
27,29,0.0206058484324137,0.0460919383954907,0,77.9394961873972,1,-8.8041075717366,-1.70097770380344,8.82079759437661,1.73831057548141
26,30,0.0002871505622272,0.0038209628269646,0,1162.37339294365,1,-333.494076875445,2.69707405704362,333.817490580892,1.60642351113567
29,30,0.106856846435066,0.139855419214403,0,192.100672007646,1,-8.44474192025451,9.67569147663433,8.62135082507567,-9.44454379405912
24,31,0.0091966429819541,0.0454006363437352,0,546.053115777874,1,-118.955105827336,-12.3930475942158,120.336438537093,19.212208036612
28,31,0.0012600680477449,0.0057976766277153,0,331.579713584901,1,204.622065089584,0.60180340477238,-204.091154767391,1.84095861264281
27,32,0.0232987022332409,0.233820362123808,0,22.1847664850253,1,2.92458507903445,1.68631305906673,-2.92191024718427,-1.6594690681196
30,32,0.0137924651548154,0.121611891632182,0,552.228038185895,1,26.3758701002484,-0.133456908831187,-26.2788889969907,0.98856549800385
26,33,0.0152233708339674,0.115554726127833,0,15148.7212498252,1,25.5679329615097,0.39683852369554,-25.467135227528,0.368278129613066
